stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
88073,1713,Dominion at Norfolk,,42.264529,-83.023213,1,,0,,1
88197,1715,Dominion at Richardie,,42.261208,-83.020946,1,,0,,1
87533,1717,Dominion at Beals,,42.25924803,-83.01965325,1,,0,,1
88226,1719,Dominion at Roselawn,,42.25706638,-83.01825927,1,,0,,1
87564,1721,Dominion at Cabana,,42.25487633,-83.01742843,1,,0,,1
87467,1723,Mount Royal at Cabana,,42.252903,-83.016159,1,,0,,1
88373,1725,Mount Royal at Villa Maria North,,42.25065594,-83.01474106,1,,0,,1
88374,1726,Mount Royal at Villa Maria South,,42.248212,-83.013203,1,,0,,1
88046,1728,Mount Royal at Mitchell,,42.245098,-83.011237,1,,0,,1
87664,1730,Mount Royal at Cousineau,,42.243176,-83.010044,1,,0,,1
87565,1735,Glenwood at Cabana,,42.25423117,-83.02217649,1,,0,,1
88509,1246,Glenwood at St. Gabriel,,42.256207,-83.023407,1,,0,,1
87534,1733,Beals at Glenwood,,42.257629,-83.024906,1,,0,,1
87622,1731,Beals at Rankin,,42.256873,-83.027683,1,,0,,1
87948,1729,Rankin at Liberty,,42.25887017,-83.02911769,1,,0,,1
88184,1727,Norfolk at Rankin,,42.26187963,-83.0317366,1,,0,,1
87581,1724,Norfolk at California,,42.260898,-83.034532,1,,0,,1
87822,1722,California at Grand Marais,,42.263632,-83.037377,1,,0,,1
88080,1720,Grand Marais at Northway,,42.26282826,-83.03966535,1,,0,,1
88079,1718,Labelle at Northway,,42.26628463,-83.04152023,1,,0,,1
87580,1716,Labelle at California,,42.267108,-83.038768,1,,0,,1
88287,1714,Labelle at St. Patricks,,42.267796,-83.036877,1,,0,,1
87998,1710,Labelle at Orion,,42.269115,-83.033148,1,,0,,1
87674,1709,Labelle at Everts,,42.270125,-83.030255,1,,0,,1
87695,1707,Labelle at Dominion,,42.271008,-83.027765,1,,0,,1
87718,1705,Dominion at E.C. Row,,42.274961,-83.029929,1,,0,,1
88084,1704,Dominion at Northwood,,42.277418,-83.031534,1,,0,,1
87450,1701,Dominion at Holy Names,,42.27915315,-83.03264475,1,,0,,1
88089,1699,Dominion at Ojibway,,42.281968,-83.034457,1,,0,,1
87449,1697,Dominion at McKay,,42.285409,-83.036672,1,,0,,1
87514,1695,Dominion at Arcadia,,42.288461,-83.038636,1,,0,,1
88346,1693,Campbell at Totten,,42.292101,-83.041519,1,,0,,1
87672,1691,Campbell at Curry,,42.29309755,-83.04364454,1,,0,,1
88507,1154,Campbell at Mark,,42.294563,-83.046753,1,,0,,1
88324,1688,Campbell at Tecumseh,,42.29565,-83.048839,1,,0,,1
88140,1686,Campbell at Pelletier,,42.29702036,-83.04972858,1,,0,,1
88305,1684,Campbell at Taylor,,42.298269,-83.050439,1,,0,,1
87830,1682,Campbell at Grove,,42.299743,-83.051157,1,,0,,1
87491,1680,Campbell at Adanac,,42.301361,-83.052192,1,,0,,1
87653,1678,Campbell at College,,42.303568,-83.053593,1,,0,,1
88216,1676,Campbell at Rooney,,42.30505589,-83.05455546,1,,0,,1
88446,1674,Campbell at Wyandotte,,42.30715591,-83.05589291,1,,0,,1
88518,1381,Campbell at Martindale,,42.309783,-83.057583,1,,0,,1
88361,1672,Campbell at University,,42.312012,-83.059031,1,,0,,1
88212,1670,Campbell at Riverside,,42.3143855,-83.06055473,1,,0,,1
88019,1668,Riverside at McKay,,42.3157109,-83.05696677,1,,0,,1
88087,1666,Riverside at Oak,,42.31704167,-83.05224016,1,,0,,1
88599,2185,Morton at Ojibway,,42.249693,-83.089762,,,0,,1
88600,2186,Front at River,,42.246095,-83.094888,,,0,,1
88601,2187,Front at Antaya,,42.246091,-83.09842,,,0,,1
