route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3279,723,678470,Crosstown2,,0,775,101298,0,0
3279,723,678430,Crosstown2,,1,775,101306,0,0
3279,723,678464,Crosstown2,,0,775,101298,0,0
3279,723,678424,Crosstown2,,1,775,101306,0,0
3279,723,678458,Crosstown2,,0,775,101298,0,0
3279,723,678418,Crosstown2,,1,775,101306,0,0
3279,723,678452,Crosstown2,,0,775,101298,0,0
3279,723,678412,Crosstown2,,1,775,101306,0,0
3279,723,678446,Crosstown2,,0,775,101298,0,0
3279,723,678406,Crosstown2,,1,775,101306,0,0
3279,724,678473,Crosstown2,,0,58297,101298,0,0
3279,724,678433,Crosstown2,,1,58297,101306,0,0
3279,724,678467,Crosstown2,,0,58297,101298,0,0
3279,724,678427,Crosstown2,,1,58297,101306,0,0
3279,724,678461,Crosstown2,,0,58297,101298,0,0
3279,724,678421,Crosstown2,,1,58297,101306,0,0
3279,724,678455,Crosstown2,,0,58297,101298,0,0
3279,724,678415,Crosstown2,,1,58297,101306,0,0
3279,724,678449,Crosstown2,,0,58297,101298,0,0
3279,724,678409,Crosstown2,,1,58297,101306,0,0
3279,724,678443,Crosstown2,,0,58297,101298,0,0
3279,724,678439,Crosstown2,,1,58298,101306,0,0
3279,724,678475,Crosstown2,,0,58298,101298,0,0
3279,724,678435,Crosstown2,,1,58298,101306,0,0
3279,724,678469,Crosstown2,,0,58298,101298,0,0
3279,724,678429,Crosstown2,,1,58298,101306,0,0
3279,724,678463,Crosstown2,,0,58298,101298,0,0
3279,724,678423,Crosstown2,,1,58298,101306,0,0
3279,724,678457,Crosstown2,,0,58298,101298,0,0
3279,724,678417,Crosstown2,,1,58298,101306,0,0
3279,724,678451,Crosstown2,,0,58298,101298,0,0
3279,724,678411,Crosstown2,,1,58298,101306,0,0
3279,724,678445,Crosstown2,,0,58298,101298,0,0
3279,724,678405,Crosstown2,,1,58298,101306,0,0
3279,724,678477,Crosstown2,,0,58299,101298,0,0
3279,724,678437,Crosstown2,,1,58299,101306,0,0
3279,724,678471,Crosstown2,,0,58299,101298,0,0
3279,724,678431,Crosstown2,,1,58299,101306,0,0
3279,724,678465,Crosstown2,,0,58299,101298,0,0
3279,724,678425,Crosstown2,,1,58299,101306,0,0
3279,724,678459,Crosstown2,,0,58299,101298,0,0
3279,724,678419,Crosstown2,,1,58299,101306,0,0
3279,724,678453,Crosstown2,,0,58299,101298,0,0
3279,724,678413,Crosstown2,,1,58299,101306,0,0
3279,724,678447,Crosstown2,,0,58299,101298,0,0
3279,724,678407,Crosstown2,,1,58299,101306,0,0
3281,724,678517,Ottawa4,,0,58301,101334,0,0
3281,724,678135,Ottawa4,,0,58301,101335,0,0
3281,724,678087,Ottawa4,,1,58301,101357,0,0
3281,724,678131,Ottawa4,,0,58301,101335,0,0
3281,724,678247,Ottawa4,,1,58301,101357,0,0
3281,724,677963,Ottawa4,,0,58301,101335,0,0
3281,724,678241,Ottawa4,,1,58301,101357,0,0
3281,724,677957,Ottawa4,,0,58301,101335,0,0
3281,724,678235,Ottawa4,,1,58301,101357,0,0
3281,724,677951,Ottawa4,,0,58301,101335,0,0
3281,724,678229,Ottawa4,,1,58301,101357,0,0
3281,723,678516,Ottawa4,,0,774,101334,0,0
3281,723,678134,Ottawa4,,0,774,101335,0,0
3281,723,678086,Ottawa4,,1,774,101357,0,0
3281,723,678130,Ottawa4,,0,774,101335,0,0
3281,723,678246,Ottawa4,,1,774,101357,0,0
3281,723,677962,Ottawa4,,0,774,101335,0,0
3281,723,678240,Ottawa4,,1,774,101357,0,0
3281,723,677956,Ottawa4,,0,774,101335,0,0
3281,723,678234,Ottawa4,,1,774,101357,0,0
3281,723,677950,Ottawa4,,0,774,101335,0,0
3281,723,678228,Ottawa4,,1,774,101357,0,0
3281,724,678245,Ottawa4,,1,58284,101357,0,0
3281,724,677961,Ottawa4,,0,58284,101335,0,0
3281,724,678239,Ottawa4,,1,58284,101357,0,0
3281,724,677955,Ottawa4,,0,58284,101335,0,0
3281,724,678233,Ottawa4,,1,58284,101357,0,0
3281,724,677949,Ottawa4,,0,58284,101335,0,0
3281,724,678089,Ottawa4,,1,58283,101357,0,0
3281,724,678133,Ottawa4,,0,58283,101335,0,0
3281,724,678249,Ottawa4,,1,58283,101357,0,0
3281,724,677965,Ottawa4,,0,58283,101335,0,0
3281,724,678243,Ottawa4,,1,58283,101357,0,0
3281,724,677959,Ottawa4,,0,58283,101335,0,0
3281,724,678237,Ottawa4,,1,58283,101357,0,0
3281,724,677953,Ottawa4,,0,58283,101335,0,0
3281,724,678231,Ottawa4,,1,58283,101357,0,0
3281,723,678088,Ottawa4,,1,762,101357,0,0
3281,723,678132,Ottawa4,,0,762,101335,0,0
3281,723,678248,Ottawa4,,1,762,101357,0,0
3281,723,677964,Ottawa4,,0,762,101335,0,0
3281,723,678242,Ottawa4,,1,762,101357,0,0
3281,723,677958,Ottawa4,,0,762,101335,0,0
3281,723,678236,Ottawa4,,1,762,101357,0,0
3281,723,677952,Ottawa4,,0,762,101335,0,0
3281,723,678230,Ottawa4,,1,762,101357,0,0
3281,723,678244,Ottawa4,,1,761,101357,0,0
3281,723,677960,Ottawa4,,0,761,101335,0,0
3281,723,678238,Ottawa4,,1,761,101357,0,0
3281,723,677954,Ottawa4,,0,761,101335,0,0
3281,723,678232,Ottawa4,,1,761,101357,0,0
3281,723,677948,Ottawa4,,0,761,101335,0,0
3282,723,678106,Dougall6,,1,766,101391,0,0
3282,723,678274,Dougall6,,0,766,101373,0,0
3282,723,678104,Dougall6,,1,766,101391,0,0
3282,723,678272,Dougall6,,0,766,101373,0,0
3282,723,678102,Dougall6,,1,766,101391,0,0
3282,723,678270,Dougall6,,0,766,101373,0,0
3282,723,678100,Dougall6,,1,766,101391,0,0
3282,723,678268,Dougall6,,0,766,101373,0,0
3282,723,678098,Dougall6,,1,766,101391,0,0
3282,723,678266,Dougall6,,0,766,101373,0,0
3282,723,678096,Dougall6,,1,766,101391,0,0
3282,723,678264,Dougall6,,0,766,101373,0,0
3282,723,678094,Dougall6,,1,766,101391,0,0
3282,723,678262,Dougall6,,0,766,101373,0,0
3282,723,678092,Dougall6,,1,766,101391,0,0
3282,723,678260,Dougall6,,0,766,101373,0,0
3282,723,678090,Dougall6,,1,766,101391,0,0
3282,723,678258,Dougall6,,0,766,101373,0,0
3282,724,678107,Dougall6,,1,58286,101391,0,0
3282,724,678275,Dougall6,,0,58286,101373,0,0
3282,724,678105,Dougall6,,1,58286,101391,0,0
3282,724,678273,Dougall6,,0,58286,101373,0,0
3282,724,678103,Dougall6,,1,58286,101391,0,0
3282,724,678271,Dougall6,,0,58286,101373,0,0
3282,724,678101,Dougall6,,1,58286,101391,0,0
3282,724,678269,Dougall6,,0,58286,101373,0,0
3282,724,678099,Dougall6,,1,58286,101391,0,0
3282,724,678267,Dougall6,,0,58286,101373,0,0
3282,724,678097,Dougall6,,1,58286,101391,0,0
3282,724,678265,Dougall6,,0,58286,101373,0,0
3282,724,678095,Dougall6,,1,58286,101391,0,0
3282,724,678263,Dougall6,,0,58286,101373,0,0
3282,724,678093,Dougall6,,1,58286,101391,0,0
3282,724,678261,Dougall6,,0,58286,101373,0,0
3282,724,678091,Dougall6,,1,58286,101391,0,0
3282,724,678259,Dougall6,,0,58286,101373,0,0
3283,724,678033,Walkerville8,,0,58302,101408,0,0
3283,724,678177,Walkerville8,,1,58302,101421,0,0
3283,724,678031,Walkerville8,,0,58302,101408,0,0
3283,724,678175,Walkerville8,,1,58302,101421,0,0
3283,724,678029,Walkerville8,,0,58302,101408,0,0
3283,724,678173,Walkerville8,,1,58302,101421,0,0
3283,724,678027,Walkerville8,,0,58302,101408,0,0
3283,724,678171,Walkerville8,,1,58302,101421,0,0
3283,724,678025,Walkerville8,,0,58302,101408,0,0
3283,724,678169,Walkerville8,,1,58302,101421,0,0
3283,724,678023,Walkerville8,,0,58302,101408,0,0
3283,724,678167,Walkerville8,,1,58302,101421,0,0
3283,724,678021,Walkerville8,,0,58302,101408,0,0
3283,723,678184,Walkerville8,,1,768,101421,0,0
3283,723,678038,Walkerville8,,0,768,101408,0,0
3283,723,678182,Walkerville8,,1,768,101421,0,0
3283,723,678036,Walkerville8,,0,768,101408,0,0
3283,723,678180,Walkerville8,,1,768,101421,0,0
3283,723,678034,Walkerville8,,0,768,101408,0,0
3283,723,678178,Walkerville8,,1,768,101421,0,0
3283,723,678032,Walkerville8,,0,768,101408,0,0
3283,723,678176,Walkerville8,,1,768,101421,0,0
3283,723,678030,Walkerville8,,0,768,101408,0,0
3283,723,678174,Walkerville8,,1,768,101421,0,0
3283,723,678028,Walkerville8,,0,768,101408,0,0
3283,723,678172,Walkerville8,,1,768,101421,0,0
3283,723,678026,Walkerville8,,0,768,101408,0,0
3283,723,678170,Walkerville8,,1,768,101421,0,0
3283,723,678024,Walkerville8,,0,768,101408,0,0
3283,723,678168,Walkerville8,,1,768,101421,0,0
